"id"	"short_title"	"title"	"description"	"link"	"image_link"	"virtual_model_link"	"additional_image_link"	"price"	"sale_price"	"canonical_link"	"google_product_category"	"product_type"	"gtin"	"brand"	"mpn"	"product_detail"	"product_highlight"	"identifier_exists"	"condition"	"availability"	"adult"	"sell_on_google_quantity"	"item_group_id"	"age_group"	"gender"	"color"	"size"	"material"	"pattern"	"size_type"	"size_system"	"promotion_id"	"custom_label_0"	"custom_label_1"	"custom_label_2"	"custom_label_3"	"custom_label_4"	"shipping(country:region:postal_code:location_id:location_group_name:service:price:min_handling_time:max_handling_time:min_transit_time:max_transit_time)"	"free_shipping_threshold"	"certification(certification_authority:certification_name:certification_code:certification_value)"	"included_destination"	"excluded_destination"	"energy_efficiency_class"	"min_energy_efficiency_class"	"max_energy_efficiency_class"	"shipping_label"	"cost_of_goods_sold"	"auto_pricing_min_price"	"multipack"	"is_bundle"	"shopping_ads_excluded_country"	"transit_time_label"	"shipping_weight"	"unit_pricing_measure"	"unit_pricing_base_measure"	"installment"	"shipping_length"	"shipping_width"	"shipping_height"	"min_handling_time"	"max_handling_time"	"tax(country:location_group_name:location_id:postal_code:region:rate:tax_ship)"	"tax_category"	"pickup_sla"	"pickup_method"	"link_template"	"ads_redirect"	"availability_date"	"expiration_date"
"shopify_US_10525195534614_51316985266454"	"Original Stockerpoint Salvatore Blau Men's Trachten Jacket"	"Original Stockerpoint  Salvatore Blau Men's Trachten Jacket"	"Classic, confident, and crafted to last — the Salvatore Blue Men's Trachten Jacket by Stockerpoint is a cornerstone of authentic German menswear. This elegant men's loden jacket in a rich black/gray pattern and deep blue collar carries the unmistakable mark of Bavarian trachten tradition. The tailored straight cut, flap pockets, stand-up collar with coordinating trim, and traditional horn buttons work in harmony to create a polished trachten silhouette. The center-back vent adds ease and an aristocratic finishing touch.

Ideal for Oktoberfest, traditional events, and everyday wear — wear with lederhosen, trousers, or jeans for a complete Bavarian look.
* This jacket is ordered from Germany on demand. Please allow 3 weeks lead time.


Jacket sizing runs true to size.
Care Instructions: Dry clean only; may be ironed on low heat.
Made from: 100% Wool
Imported from Germany.
 Size: German-US size 44-34, German-US size 46-36, German-US size 48-38, German-US size 50-40, German-US size 52-42, German-US size 54-44, German-US size 56-46, German-US size 58-48, German-US size 60-50"	"https://www.mydirndl.com/products/salvatore-blau-mens-jacket?variant=51316985266454&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Salvatore%20Blau%20Men's%20Trachten%20Jacket"	"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtensakko-salvatore-128407-4044528252228.jpg?v=1781819947"		"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtensakko-salvatore-128561-8ae4516692374.jpg?v=1781819947,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtensakko-salvatore-128563-4c08809365194.jpg?v=1781819947,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtensakko-salvatore-128564-7fba040026071.jpg?v=1781819947,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtensakko-salvatore-128562-7784715663571.jpg?v=1781819947"	"391.99 USD"		"https://www.mydirndl.com/products/salvatore-blau-mens-jacket"	5388	"mens jacket"	4064103348939	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	10525195534614	"adult"	"male"					"regular"	"US"		"mens jacket"			1	"Price 300-399"	"US:::::Shipping:14.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"1.3 kg"																
"shopify_US_9997356990742_50082236825878"	"Original Stockerpoint Aline  96cm Graphit dirndl apron"	"Original Stockerpoint  Aline  96cm Graphit dirndl apron"	" Dirndl apron Aline in Graphit for women. The apron is a jewel tone with a pattern in the material. The total length is 96 cm and is the perfect combination partner for all modern and classic dirndls.  This apron fits the  black dirndls that are 96cm. 


Apron is made from 100% polyester.
Imported from Germany.



 
 Size: S1 fits 34-38 German 0-6 US, S2 fits 40-44 German 8-12 US, S3 fits 46-50 German 14-18 US, S4 fits 52-56 German 20-24 US"	"https://www.mydirndl.com/products/aline-bordeau-96cm-dirndl-apron-copy?variant=50082236825878&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Aline%20%2096cm%20Graphit%20dirndl%20apron"	"https://cdn.shopify.com/s/files/1/1783/3567/files/GRAPHITdirndlschuerze-aline-108292-d4db079354015.jpg?v=1748749344"		"https://cdn.shopify.com/s/files/1/1783/3567/files/GRAPHITdirndlschuerze-aline-111722-2bec917311217.jpg?v=1748749698,https://cdn.shopify.com/s/files/1/1783/3567/files/GRAPHITdirndlschuerze-aline-111724-b92a394733502.jpg?v=1748749698"	"89.99 USD"	"69.99 USD"	"https://www.mydirndl.com/products/aline-bordeau-96cm-dirndl-apron-copy"	5390	"Apron"	4064103205645	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9997356990742	"adult"	"female"					"regular"	"US"		"Apron"			1	"Price 0-99"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"0.37 lb"																
"shopify_US_4830094622774_48568612749590"	"Krueger Silver Heart  Fuchsia Necklace Velvet"	"Krueger  Silver Heart  Fuchsia Necklace Velvet"	"Pretty fushsia velvet cord featuring a silver heart pendant. Simple and perfect to ad on to an Oktoberfest outfit or anything you are wearing out to your German dinner club. Perfect little gift because it matches so many things. Have a nice mix of Alpine Style jewelry and accessories for the Oktoberfest season and any time you want to be unique season!
Imported from Germany.


 Size: Default Title; Color: Silver"	"https://www.mydirndl.com/products/silver-heart-red-velvet-necklace?variant=48568612749590&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Silver%20Heart%20%20Fuchsia%20Necklace%20Velvet"	"https://cdn.shopify.com/s/files/1/1783/3567/products/11_0014050000009.jpg?v=1605762457"		"https://cdn.shopify.com/s/files/1/1783/3567/products/1_0014050000009.jpg?v=1605762457,https://cdn.shopify.com/s/files/1/1783/3567/products/9_0014050000009.jpg?v=1605762457"	"12.99 USD"		"https://www.mydirndl.com/products/silver-heart-red-velvet-necklace"	196	"Women's Jewelry"	4055446223649	"Krueger"				"yes"	"new"	"in stock"	"no"	1	4830094622774	"adult"						"regular"	"US"		"Women's Jewelry"			1	"Price 0-99"														"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"0 lb"																
"shopify_US_9997360202006_50082242724118"	"Original Stockerpoint Aline Moss Green 96cm dirndl apron"	"Original Stockerpoint  Aline Moss Green 96cm dirndl apron"	" Dirndl apron Aline in Mosss Green for women. The apron is a jewel tone with a pattern in the material. The total length is 96 cm and is the perfect combination partner for all modern and classic dirndls.  This apron fits the  black dirndls that are 96cm. 


Apron is made from 100% polyester.
Imported from Germany.



 
 Size: S1 fits 34-38 German 0-6 US, S2 fits 40-44 German 8-12 US, S3 fits 46-50 German 14-18 US, S4 fits 52-56 German 20-24 US"	"https://www.mydirndl.com/products/aline-moss-green-96cm-dirndl-apron-copy?variant=50082242724118&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Aline%20Moss%20Green%2096cm%20dirndl%20apron"	"https://cdn.shopify.com/s/files/1/1783/3567/files/mossgreendirndlschuerze-aline-108296-543d231256360.jpg?v=1748750748"		"https://cdn.shopify.com/s/files/1/1783/3567/files/mossgreendirndlschuerze-aline-111698-2a01159717577.jpg?v=1748750748,https://cdn.shopify.com/s/files/1/1783/3567/files/mossgreendirndlschuerze-aline-111700-1738372146509.jpg?v=1748750748"	"89.99 USD"	"69.99 USD"	"https://www.mydirndl.com/products/aline-moss-green-96cm-dirndl-apron-copy"	5390	"Apron"	4064103205744	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9997360202006	"adult"	"female"	"Green"				"regular"	"US"		"Apron"			1	"Price 0-99"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"0.37 lb"																
"shopify_US_9978805027094_50034921275670"	"Original Stockerpoint Devito Men's Lorbeer Vest"	"Original Stockerpoint  Devito Men's Lorbeer Vest"	"Traditional costume vest Devito from Stockerpoint Classics. This traditional vest is made of a high-quality mottled loden and is in a Bay Leaf green. The classic, straight cut guarantees a very good fit and a pleasant wearing comfort. Harmoniously matched, embroidered stand-up collar and piping emphasize the special design. The back is made of an exclusive black cotton fabric and can be adjusted with a bar. Ball buttons in old silver skillfully round off the noble appearance. The traditional vest is the ideal combination partner to our leather pants and traditional vests and characterize the classic Trachten look.  
Made from: 50% Wolle, 25% Viskose, 25% Polyester.
Imported from Germany.
 Size: US - German Size  34-44, US - German Size  36-46, US - German Size  38-48, US - German Size  40-50, US - German Size  42-52, US - German Size  44-54, US - German Size  46-56, US - German Size  48-58, US - German Size  50-60"	"https://www.mydirndl.com/products/devito-mens-lorbeer-vest?variant=50034921275670&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Devito%20Men's%20Lorbeer%20Vest"	"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106888-99d9352331196.jpg?v=1747248081"		"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106890-ac80312172759.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106886-069e429473457.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106884-afb0540453293.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-104172-d50a655009675.jpg?v=1747248081"	"146.99 USD"		"https://www.mydirndl.com/products/devito-mens-lorbeer-vest"	5388	"men's vest"	4064103188351	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9978805027094	"adult"	"male"	"Green"	"40-50"			"regular"	"US"					3	"Price 100-199"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"0.88 lb"																
"shopify_US_9978805027094_50034921373974"	"Original Stockerpoint Devito Men's Lorbeer Vest"	"Original Stockerpoint  Devito Men's Lorbeer Vest"	"Traditional costume vest Devito from Stockerpoint Classics. This traditional vest is made of a high-quality mottled loden and is in a Bay Leaf green. The classic, straight cut guarantees a very good fit and a pleasant wearing comfort. Harmoniously matched, embroidered stand-up collar and piping emphasize the special design. The back is made of an exclusive black cotton fabric and can be adjusted with a bar. Ball buttons in old silver skillfully round off the noble appearance. The traditional vest is the ideal combination partner to our leather pants and traditional vests and characterize the classic Trachten look.  
Made from: 50% Wolle, 25% Viskose, 25% Polyester.
Imported from Germany.
 Size: US - German Size  34-44, US - German Size  36-46, US - German Size  38-48, US - German Size  40-50, US - German Size  42-52, US - German Size  44-54, US - German Size  46-56, US - German Size  48-58, US - German Size  50-60"	"https://www.mydirndl.com/products/devito-mens-lorbeer-vest?variant=50034921373974&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Devito%20Men's%20Lorbeer%20Vest"	"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106888-99d9352331196.jpg?v=1747248081"		"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106890-ac80312172759.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106886-069e429473457.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106884-afb0540453293.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-104172-d50a655009675.jpg?v=1747248081"	"146.99 USD"		"https://www.mydirndl.com/products/devito-mens-lorbeer-vest"	5388	"men's vest"	4064103188382	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9978805027094	"adult"	"male"	"Green"	"46-56"			"regular"	"US"					3	"Price 100-199"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"0.88 lb"																
"shopify_US_9978805027094_50034921439510"	"Original Stockerpoint Devito Men's Lorbeer Vest"	"Original Stockerpoint  Devito Men's Lorbeer Vest"	"Traditional costume vest Devito from Stockerpoint Classics. This traditional vest is made of a high-quality mottled loden and is in a Bay Leaf green. The classic, straight cut guarantees a very good fit and a pleasant wearing comfort. Harmoniously matched, embroidered stand-up collar and piping emphasize the special design. The back is made of an exclusive black cotton fabric and can be adjusted with a bar. Ball buttons in old silver skillfully round off the noble appearance. The traditional vest is the ideal combination partner to our leather pants and traditional vests and characterize the classic Trachten look.  
Made from: 50% Wolle, 25% Viskose, 25% Polyester.
Imported from Germany.
 Size: US - German Size  34-44, US - German Size  36-46, US - German Size  38-48, US - German Size  40-50, US - German Size  42-52, US - German Size  44-54, US - German Size  46-56, US - German Size  48-58, US - German Size  50-60"	"https://www.mydirndl.com/products/devito-mens-lorbeer-vest?variant=50034921439510&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Devito%20Men's%20Lorbeer%20Vest"	"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106888-99d9352331196.jpg?v=1747248081"		"https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106890-ac80312172759.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106886-069e429473457.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-106884-afb0540453293.jpg?v=1747248081,https://cdn.shopify.com/s/files/1/1783/3567/files/trachtenweste-devito-104172-d50a655009675.jpg?v=1747248081"	"146.99 USD"		"https://www.mydirndl.com/products/devito-mens-lorbeer-vest"	5388	"men's vest"	4064103188405	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9978805027094	"adult"	"male"	"Green"	"50-60"			"regular"	"US"					3	"Price 100-199"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"0.88 lb"																
"shopify_US_9973205860630_50010952007958"	"Original Stockerpoint Badra Women's Long Dirndl"	"Original Stockerpoint  Badra Women's Long Dirndl"	"The Badra Women's Long Dirndl embodies timeless elegance and combines traditional craftsmanship with modern design. The special charm of this dirndl lies in the high-necked V-neckline, which has been artfully finished with a fine, matching piping. This collar gives the dirndl a sophisticated look and adds an elegant accent.  This dirndl features an inside pocket providing functional sophistication. The stylish, printed apron ensures a perfect fit and harmoniously rounds off the dirndl.

Dirndl is 70cm from natural waist to hem.
Blouse not included.
Made from:  100% Cotton
Imported from Germany.
 Size: US-German size 0-32, US-German size 2-34, US-German size 4-36, US-German size 6-38, US-German size 8-40, US-German size 10-42, US-German size 12-44, US-German size 14-46, US-German size 16-48"	"https://www.mydirndl.com/products/selbitz-womens-long-dirndl?variant=50010952007958&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Badra%20Women's%20Long%20Dirndl"	"https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110182-3cb6940587157.jpg?v=1746740287"		"https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110188-7127219245202.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110190-5914357848733.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110184-13ca081790111.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-109230-86e6247541380.jpg?v=1746740287"	"269.99 USD"		"https://www.mydirndl.com/products/selbitz-womens-long-dirndl"	5388	"Long Dirndl"	4064103265564	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9973205860630	"adult"	"female"	"Green"	"8-40"			"regular"	"US"		"Long Dirndl"			3	"Price 200-299"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"1.21 lb"																
"shopify_US_9973205860630_50010952040726"	"Original Stockerpoint Badra Women's Long Dirndl"	"Original Stockerpoint  Badra Women's Long Dirndl"	"The Badra Women's Long Dirndl embodies timeless elegance and combines traditional craftsmanship with modern design. The special charm of this dirndl lies in the high-necked V-neckline, which has been artfully finished with a fine, matching piping. This collar gives the dirndl a sophisticated look and adds an elegant accent.  This dirndl features an inside pocket providing functional sophistication. The stylish, printed apron ensures a perfect fit and harmoniously rounds off the dirndl.

Dirndl is 70cm from natural waist to hem.
Blouse not included.
Made from:  100% Cotton
Imported from Germany.
 Size: US-German size 0-32, US-German size 2-34, US-German size 4-36, US-German size 6-38, US-German size 8-40, US-German size 10-42, US-German size 12-44, US-German size 14-46, US-German size 16-48"	"https://www.mydirndl.com/products/selbitz-womens-long-dirndl?variant=50010952040726&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Badra%20Women's%20Long%20Dirndl"	"https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110182-3cb6940587157.jpg?v=1746740287"		"https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110188-7127219245202.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110190-5914357848733.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110184-13ca081790111.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-109230-86e6247541380.jpg?v=1746740287"	"269.99 USD"		"https://www.mydirndl.com/products/selbitz-womens-long-dirndl"	5388	"Long Dirndl"	4064103265571	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9973205860630	"adult"	"female"	"Green"	"10-42"			"regular"	"US"		"Long Dirndl"			3	"Price 200-299"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"1.21 lb"																
"shopify_US_9973205860630_50010952073494"	"Original Stockerpoint Badra Women's Long Dirndl"	"Original Stockerpoint  Badra Women's Long Dirndl"	"The Badra Women's Long Dirndl embodies timeless elegance and combines traditional craftsmanship with modern design. The special charm of this dirndl lies in the high-necked V-neckline, which has been artfully finished with a fine, matching piping. This collar gives the dirndl a sophisticated look and adds an elegant accent.  This dirndl features an inside pocket providing functional sophistication. The stylish, printed apron ensures a perfect fit and harmoniously rounds off the dirndl.

Dirndl is 70cm from natural waist to hem.
Blouse not included.
Made from:  100% Cotton
Imported from Germany.
 Size: US-German size 0-32, US-German size 2-34, US-German size 4-36, US-German size 6-38, US-German size 8-40, US-German size 10-42, US-German size 12-44, US-German size 14-46, US-German size 16-48"	"https://www.mydirndl.com/products/selbitz-womens-long-dirndl?variant=50010952073494&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=US-MULTIFEED-2026&utm_content=Badra%20Women's%20Long%20Dirndl"	"https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110182-3cb6940587157.jpg?v=1746740287"		"https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110188-7127219245202.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110190-5914357848733.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-110184-13ca081790111.jpg?v=1746740287,https://cdn.shopify.com/s/files/1/1783/3567/files/dirndl-hannah-109230-86e6247541380.jpg?v=1746740287"	"269.99 USD"		"https://www.mydirndl.com/products/selbitz-womens-long-dirndl"	5388	"Long Dirndl"	4064103265588	"Original Stockerpoint"				"yes"	"new"	"in stock"	"no"	1	9973205860630	"adult"	"female"	"Green"	"12-44"			"regular"	"US"		"Long Dirndl"			3	"Price 200-299"	"US:::::Shipping:13.99 USD::::"													"DZ,AR,BH,BD,MX,ZW,BY,KH,AO,BR,CM,CL,CO,CI,DO,EC,EG,SV,ET,GE,GH,GT,HK,IN,ID,IL,JO,KZ,KE,KW,LB,MG,MY,MU,MA,MZ,MM,NP,NI,NG,OM,PK,PY,PE,PH,RU,SG,ZA,KR,LK,TW,TZ,TH,TN,TR,UG,AE,UY,UZ,VE,VN,ZM,AU,AT,BE,CA,CR,CZ,DK,FI,FR,DE,GR,HU,IE,IT,JP,NL,NZ,NO,PA,PL,PT,PR,RO,SA,SN,SK,ES,SE,CH,UA,GB"		"1.21 lb"																
